title,ingredients,instructions
Butter Chicken Variation 78,"chicken, butter, tomatoes, cream, spices, extra spice 3",1. Marinate chicken. 2. Cook with spices and butter. 3. Add tomatoes and cream. 4. Simmer until done. Step 5: Enjoy your meal.
Paneer Tikka Variation 22,"paneer, yogurt, spices, vegetables, extra spice 6",1. Marinate paneer in yogurt and spices. 2. Skewer with vegetables. 3. Grill until golden. Step 4: Enjoy your meal.
Chole Variation 3,"chickpeas, onions, tomatoes, spices, extra spice 4","1. Soak chickpeas overnight. 2. Cook with onions, tomatoes, and spices. 3. Simmer until thick. Step 4: Enjoy your meal."
Biryani Variation 80,"rice, chicken, yogurt, spices, saffron, extra spice 8",1. Marinate chicken in yogurt and spices. 2. Cook rice with saffron. 3. Layer chicken and rice. 4. Cook on low heat. Step 5: Enjoy your meal.
Palak Paneer Variation 53,"spinach, paneer, onions, tomatoes, spices, extra spice 2",1. Cook spinach and puree. 2. Sauté onions and tomatoes. 3. Add paneer and spinach puree. 4. Simmer until done. Step 5: Enjoy your meal.
Butter Chicken Variation 90,"chicken, butter, tomatoes, cream, spices, extra spice 5",1. Marinate chicken. 2. Cook with spices and butter. 3. Add tomatoes and cream. 4. Simmer until done. Step 5: Enjoy your meal.
Paneer Tikka Variation 10,"paneer, yogurt, spices, vegetables, extra spice 9",1. Marinate paneer in yogurt and spices. 2. Skewer with vegetables. 3. Grill until golden. Step 4: Enjoy your meal.
Chole Variation 76,"chickpeas, onions, tomatoes, spices, extra spice 2","1. Soak chickpeas overnight. 2. Cook with onions, tomatoes, and spices. 3. Simmer until thick. Step 4: Enjoy your meal."
Biryani Variation 72,"rice, chicken, yogurt, spices, saffron, extra spice 4",1. Marinate chicken in yogurt and spices. 2. Cook rice with saffron. 3. Layer chicken and rice. 4. Cook on low heat. Step 5: Enjoy your meal.
Palak Paneer Variation 17,"spinach, paneer, onions, tomatoes, spices, extra spice 3",1. Cook spinach and puree. 2. Sauté onions and tomatoes. 3. Add paneer and spinach puree. 4. Simmer until done. Step 5: Enjoy your meal.
Butter Chicken Variation 87,"chicken, butter, tomatoes, cream, spices, extra spice 8",1. Marinate chicken. 2. Cook with spices and butter. 3. Add tomatoes and cream. 4. Simmer until done. Step 5: Enjoy your meal.
Paneer Tikka Variation 2,"paneer, yogurt, spices, vegetables, extra spice 9",1. Marinate paneer in yogurt and spices. 2. Skewer with vegetables. 3. Grill until golden. Step 4: Enjoy your meal.
Chole Variation 15,"chickpeas, onions, tomatoes, spices, extra spice 3","1. Soak chickpeas overnight. 2. Cook with onions, tomatoes, and spices. 3. Simmer until thick. Step 4: Enjoy your meal."
Biryani Variation 64,"rice, chicken, yogurt, spices, saffron, extra spice 4",1. Marinate chicken in yogurt and spices. 2. Cook rice with saffron. 3. Layer chicken and rice. 4. Cook on low heat. Step 5: Enjoy your meal.
Palak Paneer Variation 100,"spinach, paneer, onions, tomatoes, spices, extra spice 6",1. Cook spinach and puree. 2. Sauté onions and tomatoes. 3. Add paneer and spinach puree. 4. Simmer until done. Step 5: Enjoy your meal.
Butter Chicken Variation 57,"chicken, butter, tomatoes, cream, spices, extra spice 1",1. Marinate chicken. 2. Cook with spices and butter. 3. Add tomatoes and cream. 4. Simmer until done. Step 5: Enjoy your meal.
